,Unnamed: 0,internalTaxonId,scientificName,commonName,threat,iucn_id,iucn_status,habitat
63,63,40565,Osphranter robustus,Common Wallaroo,[],21953431,Least Concern,"['Grassland - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Pastureland', 'Shrubland - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Moist', 'Savanna - Dry', 'Forest - Temperate', 'Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Dry']"
64,64,40567,Osphranter rufus,Red Kangaroo,[],21953534,Least Concern,"['Shrubland - Subtropical/Tropical Dry', 'Grassland - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Pastureland', 'Desert - Hot', 'Savanna - Dry']"
65,65,40562,Notamacropus dorsalis,Black-striped Wallaby,[],21953658,Least Concern,"['Shrubland - Subtropical/Tropical Dry', 'Shrubland - Temperate', 'Savanna - Dry', 'Forest - Subtropical/Tropical Dry', 'Forest - Temperate']"
66,66,40561,Osphranter antilopinus,Antilopine Wallaroo,[],21953729,Least Concern,"['Forest - Subtropical/Tropical Dry', 'Savanna - Dry', 'Grassland - Subtropical/Tropical Dry']"
67,67,41512,Notamacropus eugenii,Tammar Wallaby,"['Increase in fire frequency/intensity', 'Named species']",21953803,Least Concern,"['Shrubland - Mediterranean-type Shrubby Vegetation', 'Forest - Subtropical/Tropical Dry', 'Artificial/Terrestrial - Pastureland']"
68,68,40564,Notamacropus parryi,Whiptail Wallaby,[],21953894,Least Concern,"['Artificial/Terrestrial - Pastureland', 'Artificial/Terrestrial - Arable Land', 'Savanna - Dry']"
69,69,40563,Macropus fuliginosus,Western Grey Kangaroo,[],21953972,Least Concern,"['Forest - Temperate', 'Artificial/Terrestrial - Pastureland', 'Grassland - Subtropical/Tropical Dry', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Savanna - Dry', 'Shrubland - Temperate', 'Forest - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Dry', 'Grassland - Temperate']"
70,70,12620,Osphranter bernardus,Black Wallaroo,[],21954187,Near Threatened,"['Grassland - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Moist Lowland', 'Forest - Subtropical/Tropical Dry', 'Shrubland - Subtropical/Tropical Dry']"
71,71,11163,Lagorchestes leporides,Eastern Hare-wallaby,[],21954274,Extinct,['Unknown']
72,72,11162,Lagorchestes hirsutus,Rufous Hare-wallaby,[],21954429,Vulnerable,"['Shrubland - Subtropical/Tropical Dry', 'Grassland - Temperate', 'Shrubland - Temperate', 'Grassland - Subtropical/Tropical Dry']"
73,73,11160,Lagorchestes asomatus,Central Hare-wallaby,[],21954573,Extinct,['Desert - Hot']
74,74,136509,Petrogale mareeba,Mareeba Rock-wallaby,"['Small-holder grazing, ranching or farming', 'Named species', 'Increase in fire frequency/intensity']",21954621,Near Threatened,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
75,75,41515,Petrogale herberti,Herbert's Rock-wallaby,[],21954688,Least Concern,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
76,76,41516,Petrogale inornata,Unadorned Rock-wallaby,[],21954751,Least Concern,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
77,77,41514,Petrogale godmani,Godman's Rock-wallaby,"['Increase in fire frequency/intensity', 'Small-holder grazing, ranching or farming', 'Named species']",21954814,Near Threatened,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
78,78,40570,Petrogale brachyotis,Short-eared Rock-wallaby,[],21954883,Least Concern,"['Rocky areas (eg. inland cliffs, mountain peaks)', 'Savanna - Dry', 'Forest - Subtropical/Tropical Moist Lowland']"
79,79,40569,Petrogale assimilis,Allied Rock-wallaby,[],21954955,Least Concern,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
80,80,41517,Petrogale rothschildi,Rothschild's Rock-wallaby,['Named species'],21955022,Least Concern,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
81,81,16761,Petrogale concinna,Nabarlek,"['Increase in fire frequency/intensity', 'Named species']",21955087,Endangered,"['Rocky areas (eg. inland cliffs, mountain peaks)', 'Forest - Subtropical/Tropical Dry', 'Savanna - Dry', 'Grassland - Subtropical/Tropical Dry']"
82,82,16753,Petrogale sharmani,Sharman's Rock-wallaby,"['Small-holder grazing, ranching or farming', 'Increase in fire frequency/intensity', 'Named species']",21955167,Vulnerable,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
83,83,16752,Petrogale coenensis,Cape York Rock-wallaby,"['Named species', 'Increase in fire frequency/intensity', 'Small-holder grazing, ranching or farming']",21955261,Endangered,"['Rocky areas (eg. inland cliffs, mountain peaks)', 'Forest - Subtropical/Tropical Dry']"
84,84,16751,Petrogale lateralis,Black-footed Rock-wallaby,"['Scale Unknown/Unrecorded', 'Droughts', 'Nomadic grazing', 'Increase in fire frequency/intensity', 'Agro-industry farming', 'Named species']",21955343,Vulnerable,"['Savanna - Dry', 'Shrubland - Temperate', 'Shrubland - Subtropical/Tropical Dry', 'Shrubland - Mediterranean-type Shrubby Vegetation', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Grassland - Subtropical/Tropical Dry', 'Desert - Hot']"
85,85,16750,Petrogale xanthopus,Yellow-footed Rock-wallaby,"['Unspecified species', 'Trend Unknown/Unrecorded', 'Named species']",21955455,Near Threatened,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
86,86,136463,Petrogale purpureicollis,Purple-necked Rock-wallaby,"['Named species', 'Increase in fire frequency/intensity', 'Small-holder grazing, ranching or farming']",21955566,Near Threatened,"['Rocky areas (eg. inland cliffs, mountain peaks)']"
87,87,16747,Petrogale persephone,Proserpine Rock-wallaby,"['Roads & railroads', 'Tourism & recreation areas', 'Housing & urban areas', 'Unspecified species', 'Named species', 'Named species']",21955635,Endangered,"['Rocky areas (eg. inland cliffs, mountain peaks)', 'Forest - Subtropical/Tropical Dry']"
88,88,16746,Petrogale penicillata,Brush-tailed Rock-wallaby,"['Scale Unknown/Unrecorded', 'Named species']",21955754,Vulnerable,"['Savanna - Dry', 'Rocky areas (eg. inland cliffs, mountain peaks)', 'Forest - Subtropical/Tropical Dry', 'Forest - Subtropical/Tropical Moist Lowland', 'Forest - Temperate']"
89,89,16744,Petrogale burbidgei,Warabi,"['Named species', 'Increase in fire frequency/intensity']",21955902,Near Threatened,"['Forest - Subtropical/Tropical Dry', 'Rocky areas (eg. inland cliffs, mountain peaks)']"
90,90,11171,Lagostrophus fasciatus,Banded Hare-wallaby,"['Trend Unknown/Unrecorded', 'Droughts', 'Named species']",21955969,Vulnerable,['Shrubland - Temperate']
91,91,6426,Dendrolagus bennettianus,Bennett's Tree-kangaroo,"['Tourism & recreation areas', 'Housing & urban areas']",21957127,Near Threatened,"['Forest - Subtropical/Tropical Moist Montane', 'Forest - Subtropical/Tropical Moist Lowland']"
